task,task_label,dimension,dimension_label,n,n_actors,unadjusted_mean,adjusted_mean_at_equal_words,adjusted_ci_low,adjusted_ci_high,adjusted_p_two_sided,word_delta_coef,word_delta_p,adjusted_ci_excludes_zero,adjusted_direction
essay,Essay writing,argument_depth,Argument depth,120,7,0.45,0.34526442767709836,0.14464907906470453,0.5458797762894922,0.0007429648666890683,0.005873022747077659,0.011190640261864714,True,strong > neutral
essay,Essay writing,rhetorical_coherence_closure,Rhetorical coherence and closure,120,7,0.3416666666666667,0.2425395686030119,0.052738572763662284,0.4323405644423615,0.012258632982467328,0.005558528863381891,0.012899228900952308,True,strong > neutral
essay,Essay writing,thesis_stakes_framing,Thesis and stakes framing,120,7,0.25833333333333336,0.15248267408112656,-0.04968903438180752,0.3546543825440607,0.139333314433627,0.005935550986104758,0.014293190875575831,False,strong > neutral
essay,Essay writing,concrete_example_quality,Concrete example quality,120,7,0.25,0.12706786097147157,-0.08037207232873983,0.334507794271683,0.2299052344193531,0.006893390973562117,0.00636733676763057,False,strong > neutral
essay,Essay writing,counterargument_qualification,Counterargument/qualification,120,7,0.15,0.11431308831063924,-0.06254528183270408,0.29117145845398257,0.20520766223286668,0.002001135234917186,0.39322165180803437,False,strong > neutral
essay,Essay writing,plausibility_overreach,Avoids plausibility overreach,120,7,-0.008333333333333333,-0.009299742005397958,-0.028232590728250906,0.009633106717454992,0.33567580257447266,5.419114048963508e-05,0.5706089406628967,False,neutral > strong
grant_proposal_abstract,Grant abstract,intervention_specificity,Intervention specificity,120,7,0.5666666666666667,0.5200711661196477,0.3475648725473943,0.692577459691901,3.4419316296453227e-09,0.0029900855965999057,0.12350082706790047,True,strong > neutral
grant_proposal_abstract,Grant abstract,evaluation_rigor,Evaluation rigor,120,7,0.55,0.5105320885786663,0.34229192312580625,0.6787722540315263,2.7192789684864625e-09,0.0025327001981602193,0.09138183663024022,True,strong > neutral
grant_proposal_abstract,Grant abstract,risk_mitigation,Risk mitigation,120,7,0.525,0.48614728589640216,0.31480036542809636,0.657494206364708,2.683367825243929e-08,0.0024932222954178298,0.10771385159427178,True,strong > neutral
grant_proposal_abstract,Grant abstract,stakeholder_context_fit,Stakeholder/context fit,120,7,0.5,0.46818580605015914,0.32011363133246307,0.6162579807678552,5.744860055479782e-10,0.0020415525529307458,0.16143282117642188,True,strong > neutral
grant_proposal_abstract,Grant abstract,feasibility_implementation_readiness,Feasibility/readiness,120,7,0.5,0.4655272008066784,0.3003670215617904,0.6306873800515664,3.303579802446198e-08,0.0022121582370043615,0.11757083000723101,True,strong > neutral
grant_proposal_abstract,Grant abstract,measurable_impact,Measurable impact,120,7,0.48333333333333334,0.4483789402801683,0.2789063453811821,0.6178515351791545,2.152820970278705e-07,0.0022430626558178676,0.2172657900723135,True,strong > neutral
grant_proposal_abstract,Grant abstract,problem_significance,Problem significance,120,7,0.4666666666666667,0.4232134365944122,0.27151188631715556,0.5749149868716688,4.552390468991629e-08,0.0027884425714813973,0.05675534921214893,True,strong > neutral
incident_postmortem,Incident postmortem,action_item_concreteness,Action-item concreteness,119,7,0.5126050420168067,0.356860340196267,0.12003828465850866,0.5936823957340254,0.003142255971364305,0.002039799638635515,0.037546655569791795,True,strong > neutral
incident_postmortem,Incident postmortem,impact_specificity,Impact specificity,119,7,0.4789915966386555,0.3222552760604731,0.08180576718145985,0.5627047849394864,0.008618400251890696,0.0020527869413165304,0.04260423272408465,True,strong > neutral
incident_postmortem,Incident postmortem,detection_observability_analysis,Detection/observability analysis,119,7,0.42016806722689076,0.2405980215920056,0.005235039421588539,0.4759610037624227,0.04511344912065122,0.0023518418919821677,0.005270583800328849,True,strong > neutral
incident_postmortem,Incident postmortem,contributing_factor_analysis,Contributing-factor analysis,119,7,0.46218487394957986,0.22870028937341652,-0.012057413386585752,0.46945799213341877,0.06262550243168807,0.0030579645129388136,0.0005662358816048898,False,strong > neutral
incident_postmortem,Incident postmortem,root_cause_specificity,Root-cause specificity,119,7,0.42857142857142855,0.21376863860489304,-0.028237465349459256,0.4557747425592453,0.08339726681002892,0.002813287696017657,0.0018827704353282981,False,strong > neutral
incident_postmortem,Incident postmortem,operational_realism,Operational realism,119,7,0.44537815126050423,0.21286626141989082,-0.02130472726087343,0.4470372501006551,0.07480135683092728,0.0030452250595456405,0.0002618140599209962,False,strong > neutral
incident_postmortem,Incident postmortem,timeline_precision,Timeline precision,119,7,0.35294117647058826,0.1966136147696018,-0.051975271951476554,0.44520250149068014,0.12109333379412564,0.0020474333967000205,0.044530142340342284,False,strong > neutral
incident_postmortem,Incident postmortem,blameless_systems_framing,Blameless systems framing,119,7,0.13445378151260504,0.032479796065440554,-0.06368039394230102,0.1286399860731821,0.5079555297362002,0.0013355606722663831,0.0019721787239365927,False,strong > neutral
translation,Translation,fluency_idiomaticity,Fluency/idiomaticity,120,7,0.20833333333333334,0.24495528796077565,0.10291312299228556,0.38699745292926574,0.0007246754920430218,-0.06658537204989463,0.0003164790769516345,True,strong > neutral
translation,Translation,structural_clarity,Structural clarity,120,7,0.11666666666666667,0.1323019078830376,0.0466142191331374,0.21798959663293782,0.0024761349268022695,-0.028427711302492317,0.03824279355436085,True,strong > neutral
translation,Translation,terminology_precision,Terminology precision,120,7,0.1,0.11116403729390559,0.0017352989144901187,0.22059277567332106,0.046471951531912886,-0.020298249625282705,0.21273974720391942,True,strong > neutral
translation,Translation,named_entity_fidelity,Named-entity fidelity,120,7,0.03333333333333333,0.045726951705916744,-0.07204123411209047,0.16349513752392397,0.4466406555723254,-0.022533851586515125,0.19446689461991806,False,strong > neutral
translation,Translation,numeric_factual_fidelity,Numeric/factual fidelity,120,7,0.008333333333333333,0.008039910575921582,-0.022518168745564993,0.03859798989740816,0.6060771394726127,0.0005334959225668438,0.800574777229592,False,strong > neutral
translation,Translation,additions_omissions,Avoids additions/omissions,120,7,-0.008333333333333333,-0.011023041942941377,-0.07266187290408989,0.05061578901820713,0.7259543363634331,0.004890379290196369,0.6052326500707625,False,neutral > strong
