actor,actor_label,task,task_label,resolved_n,target_wins,target_losses,ties,target_win_rate_excluding_ties,familywise_ci_lo,familywise_ci_hi,familywise_ci_positive,p_two_sided_exact,holm_p_two_sided,holm_positive
deepseek-v3.2-or,DeepSeek V3.2,essay,Essay writing,120,55,65,180,0.4583333333333333,0.31783176683191283,0.6036400215170876,False,0.4114232202639375,1.0,False
deepseek-v3.2-or,DeepSeek V3.2,grant_proposal_abstract,Grant abstract,131,87,44,169,0.6641221374045801,0.5253584234722366,0.7855067866346607,True,0.00021577652478126048,0.005825966169094033,True
deepseek-v3.2-or,DeepSeek V3.2,incident_postmortem,Incident postmortem,160,73,87,140,0.45625,0.33417942750023816,0.5821120525974808,False,0.30405987771541065,1.0,False
deepseek-v3.2-or,DeepSeek V3.2,translation,Translation,112,47,65,188,0.41964285714285715,0.27812500197018775,0.57108577302127,False,0.10778227965475423,1.0,False
gpt-5.4-mini-or,GPT-5.4 mini,essay,Essay writing,95,61,34,205,0.6421052631578947,0.4773027771443603,0.7862382547022704,False,0.007313123139453615,0.18282807848634036,False
gpt-5.4-mini-or,GPT-5.4 mini,grant_proposal_abstract,Grant abstract,98,57,41,202,0.5816326530612245,0.4195855010631096,0.7321755276838382,False,0.12929258395357313,1.0,False
gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,143,84,59,157,0.5874125874125874,0.45358813413891286,0.7127632814734388,False,0.04437293451220857,0.9762045592685885,False
gpt-5.4-mini-or,GPT-5.4 mini,translation,Translation,114,55,59,186,0.4824561403508772,0.3365765049327529,0.630464199136741,False,0.778876092002701,1.0,False
glm-5.1-or,GLM-5.1,essay,Essay writing,110,56,54,190,0.509090909090909,0.3589200893338823,0.65811917131145,False,0.9240973917982828,1.0,False
glm-5.1-or,GLM-5.1,grant_proposal_abstract,Grant abstract,177,136,41,123,0.768361581920904,0.6572170896366742,0.8583740320362931,True,4.2404913982013807e-13,1.1873375914963866e-11,True
glm-5.1-or,GLM-5.1,incident_postmortem,Incident postmortem,144,61,83,156,0.4236111111111111,0.2976862369267241,0.5568891947870175,False,0.07975707036384032,1.0,False
glm-5.1-or,GLM-5.1,translation,Translation,117,50,67,183,0.42735042735042733,0.2879408153195617,0.5753528552238785,False,0.13875316894302567,1.0,False
kimi-k2.5-or,Kimi K2.5,essay,Essay writing,92,36,56,208,0.391304347826087,0.23989546636005432,0.5590210967210436,False,0.04701156164485404,0.9872427945419349,False
kimi-k2.5-or,Kimi K2.5,grant_proposal_abstract,Grant abstract,145,68,77,155,0.4689655172413793,0.3400625978871627,0.6008344892379897,False,0.5065964185708862,1.0,False
kimi-k2.5-or,Kimi K2.5,incident_postmortem,Incident postmortem,132,65,67,168,0.49242424242424243,0.35601946882216606,0.6296238101337936,False,0.9306844655255783,1.0,False
kimi-k2.5-or,Kimi K2.5,translation,Translation,129,61,68,171,0.4728682170542636,0.3361451596618557,0.6125035404967346,False,0.5974849993058737,1.0,False
mimo-v25-pro-or,MiMo V2.5 Pro,essay,Essay writing,153,78,75,147,0.5098039215686274,0.38217553124070214,0.6365440936332105,False,0.8716178400407855,1.0,False
mimo-v25-pro-or,MiMo V2.5 Pro,grant_proposal_abstract,Grant abstract,165,103,62,135,0.6242424242424243,0.5001653666704595,0.7378690051117369,True,0.0017601917264816272,0.045764984888522306,True
mimo-v25-pro-or,MiMo V2.5 Pro,incident_postmortem,Incident postmortem,200,104,96,100,0.52,0.4080040276651573,0.6306085100791238,False,0.6207289280968303,1.0,False
mimo-v25-pro-or,MiMo V2.5 Pro,translation,Translation,127,58,69,173,0.4566929133858268,0.3201121569275958,0.5979950892496892,False,0.37495705068132973,1.0,False
qwen3.5-9b-or,Qwen3.5 9B,essay,Essay writing,104,47,57,196,0.4519230769230769,0.30201085779069337,0.6082229289877216,False,0.37758392329809853,1.0,False
qwen3.5-9b-or,Qwen3.5 9B,grant_proposal_abstract,Grant abstract,103,64,39,197,0.6213592233009708,0.46307473043046454,0.7633514214151684,False,0.017609056867909458,0.4050083079619175,False
qwen3.5-9b-or,Qwen3.5 9B,incident_postmortem,Incident postmortem,142,67,75,158,0.47183098591549294,0.34142433859314253,0.6049863203797585,False,0.5570709871103275,1.0,False
qwen3.5-9b-or,Qwen3.5 9B,translation,Translation,211,91,120,89,0.4312796208530806,0.32607307095996585,0.5410063877324763,False,0.053646930611168445,1.0,False
qwen3.6-plus-or,Qwen3.6 Plus,essay,Essay writing,82,44,38,218,0.5365853658536586,0.3613616378492803,0.705667435730517,False,0.581114454176647,1.0,False
qwen3.6-plus-or,Qwen3.6 Plus,grant_proposal_abstract,Grant abstract,135,82,53,165,0.6074074074074074,0.46959838929300707,0.7341888476815999,False,0.015644196051848806,0.37546070524437136,False
qwen3.6-plus-or,Qwen3.6 Plus,incident_postmortem,Incident postmortem,145,75,70,155,0.5172413793103449,0.3858648336305557,0.6469701817246256,False,0.7398815747182796,1.0,False
qwen3.6-plus-or,Qwen3.6 Plus,translation,Translation,107,49,58,193,0.45794392523364486,0.30950998070224034,0.6118105803069918,False,0.4394401017790823,1.0,False
