breakout,resolved_n,target_wins,target_losses,ties,pooled_win_rate,equal_cell_mean,equal_cell_ci_lo,equal_cell_ci_hi,bootstrap_cells,task,domain,task_label
overall,3743,1835,1908,4657,0.49024846379909165,0.4855113305391396,0.4574974899857634,0.5141020072760077,112,,,
task,750,340,410,1350,0.4533333333333333,0.45277502235802386,0.39928865624788673,0.5076282609976314,28,essay,,Essay writing
task,987,484,503,1113,0.49037487335359675,0.49162299105856827,0.4397619884858739,0.5405820263864322,28,grant_proposal_abstract,,Grant abstract
task,1051,541,510,1049,0.5147478591817317,0.5073002144886845,0.4474227213805443,0.5689682299034156,28,incident_postmortem,,Incident postmortem
task,955,470,485,1145,0.49214659685863876,0.49034709425128187,0.43770344505705894,0.5397756802802995,28,translation,,Translation
domain,981,495,486,1119,0.5045871559633027,0.5042177225228388,0.4546082653626866,0.5548006521662262,28,,animals,
domain,899,419,480,1201,0.4660734149054505,0.4574263261114839,0.4001714412162807,0.5162670406261262,28,,countries,
domain,901,470,431,1199,0.5216426193118757,0.515433962632446,0.45848216209747467,0.5719655094096435,28,,political,
domain,962,451,511,1138,0.4688149688149688,0.46496731088978954,0.41134897264931924,0.5213950709426122,28,,religions,
task_domain,198,98,100,327,0.494949494949495,0.5015146905512354,0.40052317468430426,0.6138546555573133,7,essay,animals,Essay writing
task_domain,181,74,107,344,0.4088397790055249,0.4016040670791773,0.29609323905000595,0.5055559998293988,7,essay,countries,Essay writing
task_domain,192,92,100,333,0.4791666666666667,0.47496509575617074,0.374037124133473,0.5705205671610336,7,essay,political,Essay writing
task_domain,179,76,103,346,0.4245810055865922,0.43301623604551226,0.3152963205484214,0.5608582852771657,7,essay,religions,Essay writing
task_domain,250,140,110,275,0.56,0.5610447613843199,0.4772586135383249,0.6467409052935369,7,grant_proposal_abstract,animals,Grant abstract
task_domain,238,110,128,287,0.46218487394957986,0.45989880565803964,0.3448839393051089,0.5618170212646957,7,grant_proposal_abstract,countries,Grant abstract
task_domain,236,121,115,289,0.5127118644067796,0.5139093984123718,0.4171049071299827,0.6100905328299692,7,grant_proposal_abstract,political,Grant abstract
task_domain,263,113,150,262,0.4296577946768061,0.4316389987795418,0.3497652430974535,0.5112535931355113,7,grant_proposal_abstract,religions,Grant abstract
task_domain,268,139,129,257,0.5186567164179104,0.5165901187281989,0.4259608479558076,0.6101414508539803,7,incident_postmortem,animals,Incident postmortem
task_domain,264,130,134,261,0.49242424242424243,0.4830133369137129,0.3532012135994749,0.6374793009308986,7,incident_postmortem,countries,Incident postmortem
task_domain,246,129,117,279,0.524390243902439,0.5111487585336365,0.3933973104353313,0.6391121576678878,7,incident_postmortem,political,Incident postmortem
task_domain,273,143,130,252,0.5238095238095238,0.5184486437791893,0.4060688927538038,0.6503394784152996,7,incident_postmortem,religions,Incident postmortem
task_domain,265,118,147,260,0.44528301886792454,0.43772131942760134,0.35376922047823095,0.51935600088932,7,translation,animals,Translation
task_domain,216,105,111,309,0.4861111111111111,0.4851890947950061,0.3926004650681375,0.5816984522957429,7,translation,countries,Translation
task_domain,227,128,99,298,0.5638766519823789,0.5617125978276049,0.43743635573537953,0.6758884153358021,7,translation,political,Translation
task_domain,247,119,128,278,0.4817813765182186,0.476765364954915,0.3941129005365587,0.5559338156616381,7,translation,religions,Translation
