comparison,actor,actor_label,task,task_label,n_pairs,resolved_n_excluding_ties,moral_low_wins,baseline_wins,ties,unresolved,moral_low_win_rate_excluding_ties,familywise_ci_lo,familywise_ci_hi,familywise_ci_above,familywise_ci_below,p_two_sided_exact,holm_p_two_sided,holm_above,holm_below
moral_low_vs_framed_empty,deepseek-v3.2-or,DeepSeek V3.2,essay,Essay writing,300,279,28,251,21,0,0.1003584229390681,0.05257178868212344,0.1683042224157816,False,True,5.6050803217707245e-46,1.5694224900958029e-44,False,True
moral_low_vs_framed_empty,deepseek-v3.2-or,DeepSeek V3.2,grant_proposal_abstract,Grant abstract,300,300,92,208,0,0,0.30666666666666664,0.22703299504383304,0.39525895693783636,False,True,1.7735451023802044e-11,4.2565082457124905e-10,False,True
moral_low_vs_framed_empty,deepseek-v3.2-or,DeepSeek V3.2,incident_postmortem,Incident postmortem,298,297,109,188,1,0,0.367003367003367,0.2818597821722594,0.4583656536944056,False,True,5.328950325231474e-06,9.592110585416653e-05,False,True
moral_low_vs_framed_empty,gpt-5.4-mini-or,GPT-5.4 mini,grant_proposal_abstract,Grant abstract,286,285,95,190,1,0,0.3333333333333333,0.24922462148292282,0.425567909498328,False,True,1.9210936205420864e-08,4.0342966031383814e-07,False,True
moral_low_vs_framed_empty,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,285,282,187,95,3,0,0.6631205673758865,0.5702360072265233,0.7479679316042214,True,False,4.597883028260365e-08,9.195766056520731e-07,True,False
moral_low_vs_framed_empty,glm-5.1-or,GLM-5.1,essay,Essay writing,300,241,93,148,59,0,0.38589211618257263,0.29026312272075394,0.4880958652166101,False,True,0.00047934105325716137,0.008148797905371744,False,True
moral_low_vs_framed_empty,glm-5.1-or,GLM-5.1,grant_proposal_abstract,Grant abstract,299,299,60,239,0,0,0.20066889632107024,0.13413757821887987,0.28116608950606,False,True,1.8895998831656155e-26,5.101919684547162e-25,False,True
moral_low_vs_framed_empty,kimi-k2.5-or,Kimi K2.5,essay,Essay writing,298,279,87,192,19,0,0.3118279569892473,0.2288972120365248,0.40413456916091256,False,True,2.9697880915102743e-10,6.830512610473631e-09,False,True
moral_low_vs_framed_empty,kimi-k2.5-or,Kimi K2.5,grant_proposal_abstract,Grant abstract,297,297,63,234,0,0,0.21212121212121213,0.14363924336084452,0.29411818856528876,False,True,2.7266116219996362e-24,7.089190217199054e-23,False,True
moral_low_vs_framed_empty,mimo-v25-pro-or,MiMo V2.5 Pro,incident_postmortem,Incident postmortem,256,256,87,169,0,0,0.33984375,0.25072461082500064,0.4376558720867385,False,True,3.3143393207024743e-07,6.297244709334701e-06,False,True
moral_low_vs_framed_empty,qwen3.5-9b-or,Qwen3.5 9B,grant_proposal_abstract,Grant abstract,179,179,51,128,0,0,0.2849162011173184,0.18658952469448783,0.39995713691509716,False,True,7.967842285572618e-09,1.752925302825976e-07,False,True
moral_low_vs_framed_empty,qwen3.6-plus-or,Qwen3.6 Plus,grant_proposal_abstract,Grant abstract,296,296,72,224,0,0,0.24324324324324326,0.17031473801130556,0.32825158864949183,False,True,2.5882931410251263e-19,6.470732852562816e-18,False,True
moral_low_vs_framed_empty,qwen3.6-plus-or,Qwen3.6 Plus,translation,Translation,267,224,88,136,43,0,0.39285714285714285,0.29326340091034514,0.4990921491408009,False,True,0.0016280259314892566,0.026048414903828105,False,True
